shortName,fullName,location,date,distance,registrationStart,registrationEnd,roadStatus,raceType,tags,webUrl
赛事简称,赛事名称,赛事地点,赛事时间,赛事里程,报名开始时间,报名截止时间,封路情况（1封2半3无）,赛事类型（1普通2绕圈3爬坡）,标签,报名方式
环巢湖,2025中国自行车运动骑游大会（湖系列）暨环巢湖全国自行车公开赛,安徽·合肥,2025.05.11,156km,2025.04.09 11:00,2025.04.23 23:59,1,1,,https://mp.weixin.qq.com/s/uVGb9ygk8Dje72qSUrdN1A
HEROS·黄岩站,中国自行车运动骑游大会（湖系列）永宁悦动•2025环长潭湖自行车赛暨HEROS自行车系列赛鸿鲸枫度—黄岩站,浙江·台州,2025.05.18,97km,2025.04.07 10:00,2025.04.20 23:59,1,1,HEROS,https://mp.weixin.qq.com/s/3lAOorME_smJwjvtF2J1Gw
HEROS·千岛湖站,中国自行车运动骑游大会（湖系列）第十九届中国环千岛湖公路自行车赛2025环浙步道自行车系列赛（总决赛）,浙江·杭州,2025.11.09,136km,2025.04.10 10:00,2025.04.20 23:59,1,1,HEROS,https://mp.weixin.qq.com/s/vYpytdWpJiy_X3Cp9m-CFQ
皖浙天路爬坡赛,2025皖浙天路KOM挑战赛,安徽·宣城,2025.05.25,70km,2025.03.11 11:00,2025.04.26 00:00,2,3,,https://shop.51bike.com/h5/index#/pages/match/match-detail?id=64
环千峡湖,“潮玩侨乡 骑迹千峡”2025第三届环千峡湖骑游大会暨环浙自行车赛千峡湖站,浙江·丽水,2025.04.26,93km,2025.04.06 00:00,2025.04.22 00:00,2,1,,https://shop.51bike.com/h5/index#/pages/match/match-detail?id=135
大运河·海安站,2025年大运河自行车系列赛（海安雅周站）,江苏·南通,2025.05.11,40.5km,2025.04.10 18:00,2025.04.30 15:00,1,2,大运河,https://mp.weixin.qq.com/s/1Id0HhFUdJ61xSAnJ2UKTA
大运河·涟水站,2025年大运河自行车系列赛（淮安涟水站）,江苏·淮安,2025.05.18,30.9km,2025.04.12 11:00,2025.05.07 15:00,1,2,大运河,https://mp.weixin.qq.com/s/FYIAezZlzeglXQtqcMspOA
美利达杯·菏泽,2025年菏泽市定陶区“美利达杯”公路自行车赛,山东·菏泽,2025.05.17,30km,2025.04.04 17:00,2025.04.30 17:00,1,2,,https://www.wildto.com/event/10085.html
泗洪大圆塘自行车赛,第二届泗洪国际大圆塘“苏酒-天绣”杯自行车公开赛,江苏·宿迁,2025.05.11,33km,2025.04.09 10:10,2025.05.05 23:55,1,2,,https://www.wildto.com/event/10091.html
崂山爬坡赛,2025第二届“山海骑遇”自行车爬坡赛,中国·青岛,2025.05.10,7.4km,2025.04.09 12:12,2025.05.08 12:00,1,3,,https://www.wildto.com/event/10097.html
不止骑·环太湖,“椰号杯”不止骑·2025第十二届环太湖-常州站,江苏·常州,2025.05.10,300km,2025.04.10 14:00,2025.05.02 18:00,3,1,,https://mp.weixin.qq.com/s/BoNQSkQ3_bGZY6U4mt3AYA
合肥团队100,2025AVENGER复仇者合肥团队100KM城市巡回骑行挑战安徽合肥站,安徽·合肥,2025.05.01,100km,2025.04.19 08:00,2025.04.25 16:00,3,1,,https://mp.weixin.qq.com/s/RCPRv3Ulp3n4-tQkVO-8ag
长三角穿越赛·靖江站,中国银行·2025长三角自行车穿越赛（靖江新桥站）,江苏·泰州,2025.04.26,9km,2025.04.15 09:00,2025.04.23 17:00,1,2,,https://www.wildto.com/event/10116.html
象山骑游大会,第七届“美丽公路杯”暨晓塘乡“四月八”民俗文化传承日环大塘港骑游大会,浙江·宁波,2025.05.04,65km,2025.04.01 00:00,cancel,3,1,,https://shop.51bike.com/h5/index#/pages/match/match-detail?id=134
岱山骑游大会,2025岱山骑游大会,浙江·舟山,2025.05.11,90km,2025.04.16 08:00,2025.04.28 23:00,2,1,,https://mp.weixin.qq.com/s/zGiGa2fzHLkvEq4REEPLwg
浙西天路爬坡赛,2025浙西天路KOM爬坡赛杭州临安站,浙江·杭州,2025.05.25,-km,-,-,1,3,,/
皖美山水·芜湖站,2025“中国皖美山水”骑行赛·芜湖响水涧站,安徽·芜湖,2025.09.07,-km,-,-,1,1,皖美山水,/
皖美山水·滁州站,2025“中国皖美山水”骑行赛·全椒江淮分水岭风景道站,安徽·滁州,2025.09.14,-km,-,-,1,1,皖美山水,/
皖美山水·合肥站,2025“中国皖美山水”骑行赛·合肥紫蓬山站,安徽·合肥,2025.11.02,-km,-,-,1,1,皖美山水,/
皖美山水·池州站,2025“中国皖美山水”骑行赛·石台秋浦河站,安徽·池州,2025.11.09,-km,-,-,1,1,皖美山水,/
HEROS·安吉站,中国自行车运动骑游大会2025环浙步道自行车系列赛-安吉站,浙江·湖州,2025.06.08,-km,2025.04.30 10:00,2025.05.15 23:59,1,1,HEROS,/
HEROS·庆元站,中国自行车运动骑游大会2025环浙步道自行车系列赛-庆元站,浙江·丽水,2025.09.21,126km,2025.08.15 10:00,2025.08.29 23:59,1,1,HEROS,/
环径山,2025环径山公路自行车比赛,浙江·杭州,2025.05.11,52km,2025.04.23 17:00,2025.04.25 00:00,1,1,,https://shop.51bike.com/h5/index#/pages/match/match-detail?id=131
